Classe |  Parametres du traitement
----------------------------------
0      | 64 64 36 36 15 15 11 11 8 8 8 6 6 6 6 4 4 4 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 6 6 6 6 8 8 8 11 11 13 13 18 18 18 64 64 
0      | 64 64 42 39 39 37 37 35 35 33 32 32 30 30 30 30 19 17 17 16 16 14 14 12 10 10 10 10 9 9 7 7 7 5 5 5 5 5 5 3 3 3 3 3 3 3 3 2 2 2 2 3 3 3 3 3 5 5 5 5 7 7 64 64 
0      | 64 35 35 32 28 28 18 18 14 14 12 12 8 8 6 6 6 6 4 4 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 4 4 6 6 8 8 14 14 64 64 64 
0      | 37 37 37 32 32 24 24 24 21 21 16 16 16 13 13 13 10 10 10 10 10 8 8 8 5 5 5 5 5 5 5 5 5 5 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 8 8 8 8 8 13 13 13 18 18 18 64 64 64 
0      | 64 64 27 27 21 21 17 17 14 14 12 12 10 10 10 10 10 8 8 8 8 6 6 6 6 4 4 4 4 4 4 4 4 4 4 4 4 4 2 2 4 4 4 4 4 4 4 4 4 4 4 6 6 6 6 8 8 12 12 64 64 64 64 64 
0      | 64 64 64 64 36 36 32 32 20 20 20 15 15 11 11 8 8 8 8 8 6 6 6 6 6 4 4 4 4 4 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 6 6 8 8 8 13 13 64 64 64 64 64 64 64 
0      | 40 40 40 36 36 34 34 32 32 32 32 29 29 29 29 29 29 27 27 25 25 23 23 23 23 21 21 19 19 17 17 17 15 15 15 15 13 13 13 13 11 11 11 11 11 11 11 11 9 9 9 9 11 11 11 11 11 11 13 13 13 64 64 64 
0      | 35 35 35 28 28 28 22 22 22 19 19 19 15 15 15 15 15 15 15 15 15 15 15 15 15 12 12 12 12 12 12 12 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 64 64 64 
0      | 32 32 32 25 25 25 22 22 22 19 19 19 19 19 19 15 15 15 15 12 12 12 12 12 12 12 12 12 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 12 12 12 12 12 12 15 15 15 15 64 64 64 
0      | 64 64 34 34 32 32 32 29 29 27 27 27 27 27 24 24 24 24 24 22 22 22 19 19 19 19 19 17 17 17 17 17 14 14 14 14 14 14 14 14 14 14 14 14 12 12 12 12 12 12 12 12 14 14 14 14 14 14 14 17 17 17 64 64 
0      | 39 39 39 28 28 28 24 24 24 24 17 17 17 13 13 13 13 10 10 10 10 6 6 6 24 24 24 24 21 21 21 21 21 21 21 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 21 21 21 21 21 21 21 21 64 64 64 
0      | 64 64 41 41 41 38 38 38 35 35 35 32 32 32 29 29 29 26 26 26 20 20 20 17 17 17 20 20 20 20 20 20 17 17 17 17 17 17 14 14 14 14 14 14 14 14 14 11 11 11 11 11 11 11 11 11 11 11 11 14 14 14 64 64 
0      | 32 32 32 32 32 25 25 23 23 21 21 21 21 19 19 17 17 17 17 15 15 15 15 13 13 13 13 11 11 11 11 11 11 11 9 9 9 9 9 9 9 9 7 7 7 7 7 7 7 7 7 7 9 9 9 9 11 11 11 11 11 64 64 64 
0      | 35 35 35 32 32 32 28 28 28 25 25 25 22 22 22 22 22 22 22 19 19 19 15 15 15 15 15 15 12 12 12 12 9 9 9 9 9 9 6 6 6 6 6 6 6 6 6 6 3 3 3 3 3 3 3 3 3 3 3 3 3 64 64 64 
0      | 64 64 35 35 35 29 29 29 23 23 23 20 20 20 17 17 17 14 14 14 14 14 14 11 11 11 11 11 11 8 8 8 8 8 8 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 8 8 8 8 8 8 64 64 
0      | 27 27 27 20 20 16 16 14 14 14 14 14 14 14 14 14 14 14 11 11 11 11 11 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 11 11 11 11 14 14 14 14 14 16 16 18 18 23 23 23 64 64 64 
0      | 64 64 27 27 9 9 9 7 7 4 4 4 4 4 4 4 4 4 4 12 12 12 9 9 9 9 9 7 7 7 7 7 4 4 4 4 4 4 4 2 2 2 4 4 4 4 4 4 4 7 7 7 9 9 12 12 12 22 22 64 64 64 64 64 
0      | 64 64 14 14 12 12 12 9 9 7 7 7 7 7 7 7 7 7 7 4 4 4 4 4 4 4 4 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 7 7 9 9 9 14 14 24 24 24 64 64 
0      | 64 64 64 24 24 21 21 21 16 16 10 10 10 8 8 8 5 5 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 3 5 5 5 8 8 8 10 10 16 16 16 24 24 24 64 64 64 
0      | 64 64 20 20 15 15 13 13 11 11 11 8 8 8 8 6 6 6 6 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 6 6 6 6 6 6 8 8 11 11 13 13 13 15 15 18 18 25 25 25 64 64 
0      | 20 20 20 16 16 14 14 11 11 18 18 16 16 16 14 14 14 14 9 9 9 9 9 7 7 7 7 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 7 7 9 9 11 11 16 16 16 64 64 64 
0      | 64 64 64 64 24 24 24 24 24 24 24 24 17 17 14 14 14 12 12 9 9 9 9 9 7 7 7 4 4 4 4 4 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 9 9 12 12 12 17 17 22 22 22 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 20 20 20 17 17 17 17 17 17 20 20 20 14 14 14 11 11 11 8 8 8 8 8 8 5 5 5 5 5 5 5 5 5 2 2 2 5 5 5 5 5 5 5 5 5 11 11 11 14 14 14 64 64 64 64 64 64 64 64 
0      | 64 64 64 64 64 28 28 28 25 25 25 25 25 25 25 18 18 18 12 12 12 12 8 8 8 5 5 5 5 5 5 5 5 5 5 2 2 2 5 5 5 5 5 5 5 5 5 5 5 5 5 5 8 8 8 15 15 15 64 64 64 64 64 64 
0      | 64 64 32 32 32 24 24 24 24 17 17 17 17 13 13 13 13 9 9 9 5 5 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 9 9 9 9 13 13 13 20 20 20 20 32 32 32 32 64 64 64 64 64 64 
0      | 64 64 64 64 64 17 17 17 17 13 13 13 13 9 9 9 9 9 9 9 5 5 5 5 5 5 5 5 5 5 5 5 2 2 2 2 2 2 2 5 5 5 5 5 5 5 5 9 9 9 9 9 9 9 17 17 17 17 64 64 64 64 64 64 
0      | 64 64 64 64 32 32 32 32 32 32 32 32 26 26 26 15 15 15 10 10 10 7 7 7 7 7 4 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 7 7 12 12 12 18 18 18 64 64 64 64 64 
0      | 34 34 34 27 27 24 24 22 22 22 19 19 17 17 17 15 15 15 15 12 12 12 12 12 12 12 12 12 12 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 12 12 10 10 10 12 12 15 15 15 15 15 19 19 19 64 64 64 
0      | 22 22 22 19 19 19 15 15 15 15 15 15 12 12 12 12 12 12 12 48 48 48 51 51 51 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 12 12 12 19 19 19 19 64 64 64 
0      | 64 64 29 29 26 26 26 23 23 23 21 21 18 18 18 15 15 15 15 15 15 12 12 12 12 12 12 12 12 12 12 12 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 12 12 12 15 15 15 18 18 18 64 64 
0      | 29 29 29 27 27 23 23 20 20 18 18 18 18 18 16 16 16 16 14 14 14 14 14 14 14 14 14 14 14 14 14 14 16 16 20 20 20 20 20 20 20 20 20 20 20 23 23 23 23 23 23 23 25 25 25 25 29 29 29 29 29 64 64 64 
0      | 34 34 34 15 15 12 12 10 10 10 10 10 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 5 5 5 5 5 5 7 7 7 5 5 7 7 7 7 7 7 7 7 7 7 10 10 12 12 12 15 15 19 19 19 64 64 64 
0      | 64 64 32 32 27 27 27 22 22 17 17 17 17 17 14 14 14 12 12 12 12 12 9 9 9 9 9 7 7 7 7 7 7 7 7 7 7 7 7 12 12 12 12 12 12 12 12 12 12 14 14 14 14 14 14 14 14 17 17 19 19 19 64 64 
0      | 32 32 32 18 18 16 16 16 13 13 13 13 13 13 13 13 10 10 10 10 10 10 10 10 10 10 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 10 10 10 10 10 10 10 10 10 10 10 13 13 13 13 13 18 18 18 64 64 64 
0      | 24 24 24 18 18 13 13 13 8 8 5 5 5 5 5 5 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 3 3 5 5 5 5 5 5 5 5 8 8 8 8 8 8 10 10 16 16 16 18 18 18 64 64 64 
0      | 64 64 27 27 22 22 22 17 17 12 12 12 12 12 7 7 7 7 7 4 4 4 4 4 17 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 17 17 17 17 17 17 17 17 19 19 22 22 22 24 24 29 29 29 64 64 
0      | 64 64 36 36 32 32 27 27 25 25 25 22 22 20 20 18 18 18 15 15 13 13 13 13 13 11 11 11 11 11 11 11 11 11 11 11 11 11 8 8 8 11 11 11 11 11 11 11 11 11 13 13 15 15 15 18 18 20 20 27 27 27 64 64 
0      | 64 64 21 21 18 18 18 15 15 15 12 12 10 10 10 10 10 10 7 7 7 7 7 4 4 4 4 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 7 7 10 10 10 12 12 12 18 18 18 64 64 
0      | 26 26 26 23 23 20 20 20 17 17 17 14 14 14 14 14 14 11 11 11 8 8 8 8 8 8 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 11 11 11 14 14 14 64 64 64 
0      | 24 24 24 21 21 16 16 16 16 16 10 10 10 10 10 10 8 8 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 10 10 10 64 64 64 
